"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000272449" 124 38 44 82 210 187 108 54 93 69 86 175 95 57 100 137 49 83 55 79
"ENSG00000238164" 225 308 652 434 488 834 536 319 236 530 625 246 423 265 188 520 489 692 550 578
"ENSG00000157873" 3897 2832 3140 3790 8380 6418 3950 1204 3644 4250 6115 3529 3504 3226 2712 4309 4467 4071 4357 3608
"ENSG00000225931" 6 4 1 4 5 10 5 0 7 6 5 4 3 7 5 6 8 18 11 5
"ENSG00000228037" 6 2 2 10 16 15 10 0 4 8 3 8 9 3 0 6 6 7 20 10
"ENSG00000157870" 377 304 1068 235 381 436 330 409 463 455 512 378 311 284 464 448 459 423 607 687
"ENSG00000142606" 2 1 8 4 18 20 10 0 6 2 11 9 1 4 3 11 6 3 9 74
"ENSG00000237058" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000215912" 2 5 3 1 4 0 1 6 3 1 0 4 0 1 3 0 0 6 1 7
"ENSG00000233234" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000231630" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000169717" 4 2 0 0 4 0 0 4 0 0 0 4 2 0 0 0 0 2 4 1
"ENSG00000177133" 22 24 41 19 56 85 27 11 11 32 32 49 34 48 2 19 69 25 32 135
"ENSG00000142611" 30 17 75 61 84 67 28 43 24 65 44 35 33 33 14 53 90 21 37 145
"ENSG00000226286" 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000272235" 0 0 0 2 0 6 0 1 0 2 0 2 0 0 1 0 0 0 0 0
"ENSG00000130762" 489 176 1728 163 320 738 305 399 435 697 675 447 634 435 640 912 604 381 685 948
"ENSG00000272088" 7 0 11 2 2 3 1 0 0 4 5 2 4 0 0 11 6 2 0 4
"ENSG00000162591" 437 599 1703 782 852 740 745 53 231 587 1376 448 666 793 91 348 929 1151 227 2300
"ENSG00000207776" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238260" 23 10 8 5 23 17 23 4 5 29 15 30 26 2 14 15 7 2 6 22
"ENSG00000158109" 4952 2669 7253 1438 5233 5023 3977 4762 3401 5279 7721 4708 4718 3132 3434 3655 3298 3746 6418 5010
"ENSG00000116213" 466 306 554 360 496 569 384 706 316 553 692 460 460 400 571 647 516 498 704 404
"ENSG00000078900" 10 17 111 17 45 42 19 16 0 20 18 13 39 21 10 29 81 25 30 58
"ENSG00000227589" 0 0 14 2 3 11 0 1 0 4 2 21 0 0 0 0 2 0 0 2
